UF;CASOS
PA;980
PA;1345
PA;1706
PA;2209
PA;2569
PA;3067
PA;331
PA;2192
PA;1339
PA;10532
PA;1479
PA;2397
PA;2078
PA;4045
PA;1605
PA;1389
PA;336
PA;17132
PA;751
PA;960
PA;2791
PA;3077
PA;511
PA;3249
PA;1967
PA;1302
PA;5311
PA;854
PA;1391
PA;1080
PA;1003
PA;2454
PA;1766
PA;6313
PA;1434
PA;7868
PA;393
PA;5155
PA;1980
PA;661
PA;8038
PA;50220
PA;709
PA;333
PA;678
PA;1657
PA;2685
PA;2765
PA;1303
PA;1757
PA;756
PA;968
PA;12789
PA;2386
PA;1390
PA;3774
PA;1128
PA;1272
PA;1191
PA;173
PA;2038
PA;1419
PA;847
PA;1455
PA;2863
PA;18088
PA;381
PA;1850
PA;1186
PA;2398
PA;960
PA;4056
PA;805
PA;1376
PA;72
PA;320
PA;75
PA;3180
PA;634
PA;403
PA;703
PA;700
PA;5729
PA;598
PA;1317
PA;2005
PA;697
PA;1275
PA;4739
PA;6507
PA;2467
PA;2013
PA;2778
PA;1514
PA;1887
PA;4592
PB;973
PB;456
PB;3711
PB;970
PB;1869
PB;429
PB;174
PB;2115
PB;163
PB;887
PB;1306
PB;937
PB;624
PB;1234
PB;149
PB;320
PB;1538
PB;385
PB;1265
PB;1262
PB;652
PB;1512
PB;455
PB;502
PB;6912
PB;2027
PB;506
PB;251
PB;383
PB;711
PB;149
PB;357
PB;448
PB;1653
PB;381
PB;1561
PB;648
PB;1835
PB;358
PB;8488
PB;758
PB;51
PB;1101
PB;217
PB;730
PB;8494
PB;165
PB;526
PB;419
PB;33371
PB;227
PB;240
PB;431
PB;911
PB;263
PB;3797
PB;296
PB;861
PB;467
PB;2358
PB;411
PB;1558
PB;105
PB;968
PB;392
PB;1683
PB;296
PB;859
PB;355
PB;375
PB;481
PB;505
PB;534
PB;550
PB;426
PB;127
PB;4739
PB;452
PB;308
PB;590
PB;8786
PB;816
PB;194
PB;610
PB;329
PB;320
PB;2703
PB;2910
PB;2376
PB;2002
PB;884
PB;943
PB;608
PB;92845
PB;94
PB;892
PB;596
PB;413
PB;1337
PB;688
PB;163
PB;851
PB;2152
PB;393
PB;690
PB;368
PB;944
PB;262
PB;369
PB;4518
PB;381
PB;873
PB;2048
PB;351
PB;1048
PB;454
PB;171
PB;84
PB;407
PB;1049
PB;287
PB;446
PB;3459
PB;785
PB;295
PB;486
PB;947
PB;332
PB;545
PB;329
PB;289
PB;234
PB;182
PB;129
PB;12329
PB;1157
PB;400
PB;247
PB;2377
PB;270
PB;2048
PB;1630
PB;996
PB;187
PB;631
PB;668
PB;1520
PB;1108
PB;155
PB;229
PB;5040
PB;233
PB;1925
PB;653
PB;3228
PB;79
PB;1159
PB;182
PB;430
PB;227
PB;87
PB;670
PB;2342
PB;160
PB;712
PB;308
PB;295
PB;502
PB;130
PB;1858
PB;8304
PB;206
PB;343
PB;399
PB;343
PB;392
PB;5395
PB;244
PB;165
PB;170
PB;395
PB;1171
PB;196
PB;947
PB;364
PB;421
PB;1982
PB;191
PB;125
PB;175
PB;670
PB;93
PB;429
PB;705
PB;512
PB;890
PB;216
PB;357
PB;2724
PB;906
PB;490
PB;202
PB;500
PB;614
PB;587
PB;474
PB;3565
PB;1025
PB;245
PB;6727
PB;2424
PB;329
PB;641
PB;865
PB;737
PB;95
PB;862
PB;572
PB;367
PB;102
PB;181
PB;151
PB;144
PE;3019
PE;4815
PE;858
PE;1623
PE;1441
PE;1593
PE;1150
PE;619
PE;1085
PE;553
PE;206
PE;621
PE;6359
PE;5469
PE;361
PE;758
PE;247
PE;656
PE;3527
PE;468
PE;3732
PE;1889
PE;1719
PE;1493
PE;889
PE;452
PE;644
PE;2023
PE;329
PE;2212
PE;7397
PE;2173
PE;556
PE;1474
PE;452
PE;625
PE;6418
PE;518
PE;831
PE;563
PE;1249
PE;2055
PE;200
PE;3891
PE;30289
PE;308
PE;1173
PE;1609
PE;448
PE;429
PE;1365
PE;281
PE;229
PE;446
PE;1954
PE;770
PE;1166
PE;861
PE;3825
PE;1353
PE;283
PE;995
PE;930
PE;1724
PE;1172
PE;424
PE;13114
PE;1101
PE;6529
PE;388
PE;4511
PE;699
PE;858
